feature,real_mean,real_std,real_p05,real_p25,real_median,real_p75,real_p95,synthetic_mean,synthetic_std,synthetic_p05,synthetic_p25,synthetic_median,synthetic_p75,synthetic_p95,mean_delta,mean_abs_delta,std_ratio_real_to_synthetic
connection_burst,0.019833333333333335,0.06388770530304629,0.0,0.0,0.0,0.05,0.1,0.4180236564319762,0.14149916177598576,0.18711061461105835,0.3212007432826496,0.4180628409819223,0.5135223714571243,0.6530649270267619,-0.3981903230986429,0.3981903230986429,0.4515058923401259
failed_auth_ratio,0.06016029619115089,0.03012253817877211,0.0328386078339958,0.051006977236504145,0.0586772156679916,0.0640361570330812,0.0740424024433304,0.41086608799270785,0.12566445691243497,0.20866562791805932,0.3223485840195501,0.4076178615967505,0.49681519649831496,0.6230550535854174,-0.350705791801557,0.350705791801557,0.23970611037424833
device_behavior_shift,0.11581629160639523,0.04532564956351685,0.0853376200478804,0.0921408236293382,0.1032193520123317,0.11694192900200265,0.18051363538058912,0.37946103479367504,0.14601596474316522,0.1440744782544889,0.2768482442434527,0.37659074589486913,0.47967844931842063,0.6258066602214135,-0.2636447431872798,0.2636447431872798,0.31041571134527923
payload_irregularity,0.10708243294350561,0.06334382722716987,0.010006449259633817,0.05045704306494565,0.11176433177157895,0.15338991671289814,0.20301893476189944,0.35916384825089487,0.13322852067351384,0.14065552750729635,0.26659816257512725,0.35877853500047463,0.4511071238910987,0.5801701686122097,-0.25208141530738926,0.25208141530738926,0.4754524549769528
protocol_deviation,0.16260579833062608,0.03642801662488903,0.0938245938114166,0.14573422067572628,0.1676491876228333,0.1829604486659463,0.2115497212666585,0.38095593925239757,0.16090866418947994,0.11845653206269041,0.26741001746575555,0.37849189056651056,0.49233626505565786,0.6511245729984318,-0.2183501409217715,0.2183501409217715,0.22638940425229545
request_frequency,0.603164184245834,0.15474471279036006,0.34844999531051735,0.5034924149661926,0.5888226760294741,0.7372270759061212,0.8361135797745708,0.4651274171290831,0.13846584823338592,0.23718741872447555,0.3674094504769207,0.4654685850190178,0.5634976318863536,0.6915596152703533,0.13803676711675084,0.13803676711675084,1.1175659179838764
retransmission_rate,0.29147351905014945,0.060765765050264084,0.1636784219875972,0.2506387109014824,0.3073568439751944,0.3320951078314308,0.3878411556555406,0.4114077236334701,0.11638122743869579,0.2205592830823182,0.33258921870593583,0.4112337420674027,0.4908524267585262,0.6023398529662269,-0.11993420458332066,0.11993420458332066,0.5221268617593217
destination_change_rate,0.24459488424534462,0.062279379811214564,0.2013612181311316,0.2150189849581021,0.2285756709519904,0.2424868847614105,0.395217053070478,0.360905668031392,0.14776401796189173,0.12290995010814267,0.2568070521577783,0.356519264695383,0.460741775271184,0.6141954532602888,-0.1163107837860474,0.1163107837860474,0.4214786567814932
port_scan_score,0.33321570558311286,0.024319906124643267,0.3256296327907406,0.3256296327907406,0.3256296327907406,0.3256296327907406,0.3711636825301312,0.4136627455401155,0.17028402763007286,0.13800359123792183,0.29224802055993515,0.4099228046664961,0.5321032106216337,0.7010711519465436,-0.08044703995700264,0.08044703995700264,0.1428196552731072
packet_rate,0.5279709884149991,0.23724452450339534,0.13202816596501799,0.35836854522266864,0.5049933427322839,0.7348324537916637,0.897055177066415,0.4691442808903977,0.13086105061245798,0.25323132206410204,0.37894784758532607,0.4690220329685455,0.5597380281084503,0.6850154302311084,0.058826707524601396,0.058826707524601396,1.8129498685287924
