packet_rate,failed_auth_ratio,connection_burst,destination_change_rate,port_scan_score,protocol_deviation,retransmission_rate,payload_irregularity,device_behavior_shift,request_frequency,reference_network_threat,reference_device_trust,reference_destination_trust,reference_anomaly
0.4654979659859536,0.3791351654772785,0.37634569259289663,0.49176146615485655,0.2984766171652878,0.2072667327216701,0.36875335155046,0.18101386279058776,0.3863840671103911,0.4318510135592803,0.351921974429473,0.3110623557013665,0.3622520902151059,0
0.47223513838853076,0.4994472442797724,0.4795439320923887,0.4650800825506623,0.3374467358237065,0.3891098016716739,0.3696636888504465,0.4692381306139566,0.32111570548630897,0.6791505039480719,0.4840965627130777,0.4542465476540136,0.6319503298247677,0
0.5519050594753098,0.40853728087168206,0.2299183867688934,0.35085713483370917,0.37730944149688905,0.27415923545275095,0.2861126946468915,0.5172628083811911,0.3976035441247587,0.5086410212369813,0.4698427362258891,0.4039118392567922,0.7946926489738572,0
0.39616622252801376,0.525302633219644,0.2487341321665163,0.5273280094737334,0.5471867152909483,0.4132682677229931,0.4096216878378071,0.456327793253691,0.6597682779188205,0.27235429188516314,0.5999440128026448,0.3257398386498434,0.6185346265839748,1
0.4112139149192786,0.41118787481242297,0.4508198709933654,0.10633048727890376,0.2702137427063744,0.37830791964788885,0.5097792646842643,0.3549011849332268,0.3255885253205313,0.646269099059809,0.4186430281637828,0.5170174789125567,0.8108585304776463,0
0.5093086700604725,0.6775757690570541,0.7401082563763601,0.5468363328114152,0.6548388757594886,0.7813615557795914,0.5951791023624592,0.41337935058449127,0.4836073642788618,0.7152912933080812,0.9083034396787164,0.7306689304212892,0.3877871721267833,1
0.4379695433233956,0.33550452858259505,0.42754564775959164,0.2784488596581939,0.48720402825008313,0.34658669189576585,0.34829617020625275,0.19560707184632972,0.3486206266334387,0.45473300103525677,0.5282899811867297,0.7483732874309612,0.5839686409172371,0
0.31377391041574487,0.43534579244209626,0.39202807520742,0.15693492274190418,0.46258727428926305,0.3277803090532332,0.33049217399817876,0.36789253055212956,0.2500090548853508,0.34408804937374515,0.3797544487953785,0.8210769207833786,0.727927398129278,0
0.40295090557236596,0.5350085386982458,0.11326539744656533,0.3471521717504636,0.41290730494469713,0.4436045466501883,0.5242526989079384,0.33070991116029114,0.25360902853411904,0.406149652067451,0.4647955375381068,0.6937277625578866,0.5786657305118238,0
0.49265728893434907,0.4740594343765407,0.31366603348934424,0.3508127612192994,0.5429117106443015,0.37854203126022,0.6391891703216038,0.47224407660993417,0.36474127039049575,0.5851658148143191,0.4857259429140491,0.8147091346347879,0.599726931829694,0
0.5296576455375394,0.4702913266233707,0.4504232559145165,0.48080790077127444,0.4465194584205946,0.23251340850319266,0.5665771992658795,0.39911444416650754,0.4058757381693495,0.5553173616651323,0.5536465521661224,0.6516379928701587,0.6955183393182216,0
0.518940186599432,0.40893754749307554,0.3821127964733514,0.12478685489349475,0.2908268256986653,0.20153017583883462,0.3510801642752244,0.4399775793166785,0.3105532459832228,0.6062912897689772,0.419960849030381,0.6478424279188659,0.8466188781669919,0
0.2613210164687101,0.41808210286880293,0.21446546371330125,0.2179842377882203,0.47398768735423624,0.1550475111127253,0.3667122323242477,0.33071360080950174,0.35328598280514145,0.11237187121840818,0.4759571151425136,0.7404672731119144,0.73827841325666,0
0.5865555947932459,0.5005870925823479,0.44196877435588117,0.4371973474441516,0.4386185363934496,0.34712255524345265,0.33152460103494613,0.5263873799290375,0.23487994258321082,0.5477576172457584,0.4305094820130068,0.8524217049912843,0.5611063984937554,0
